listing_id,price,referans_fiyat,xgb_predicted,predicted_price,price_gap,etiket,guven,knn_mod,district,neighborhood,gross_sqm,total_rooms,building_age,floor,total_floors,floor_ratio,is_in_complex,knn_mesafe
155767-34,20000000,13250000.0,20783348.0,17016674.0,0.175317808873814,Adil fiyat,0.45,ilce_ici,Başakşehir,Bahçeşehir 1. Kısım,177.0,4,11,-1.0,4.0,-0.25,1,1.3011690127819118
7430-2305,26500000,13500000.0,25500356.0,19500178.0,0.3589619540908806,Pahalı,0.0,ilce_ici,Başakşehir,Başak,290.0,7,21,2.0,3.0,0.6666666666666666,1,2.4096440695330226
166388-17,25500000,14350000.0,24285780.0,19317890.0,0.32001994006591816,Pahalı,0.44,ilce_ici,Başakşehir,Başakşehir,179.0,5,1,5.0,10.0,0.5,1,1.3258475773294207
132292-1379,5485000,5450000.0,4947874.0,5198937.0,0.055023363429870374,Adil fiyat,0.86,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,140.0,4,0,2.0,4.0,0.5,0,0.3248306160268984
0-46089380,19950000,14700000.0,21166684.0,17933342.0,0.11245299398182447,Adil fiyat,0.54,ilce_ici,Başakşehir,Başak,225.0,5,0,6.0,9.0,0.6666666666666666,1,1.0786656524403697
164478-15,14500000,11800000.0,14294339.0,13047169.5,0.11135215956227135,Adil fiyat,0.41,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,147.0,3,0,-1.0,3.0,-0.3333333333333333,1,1.401256509233484
165906-10,8420000,6937500.0,8247059.0,7592279.5,0.10902134200933988,Adil fiyat,0.56,ilce_ici,Başakşehir,Kayabaşı,100.0,3,6,6.0,8.0,0.75,1,1.0482643924626136
3316-924,9500000,8425000.0,9568964.0,8996982.0,0.0559096372539147,Adil fiyat,0.15,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,198.0,4,24,4.0,11.0,0.36363636363636365,0,2.0050513102429957
75964-2921,3399000,3050000.0,3344886.0,3197443.0,0.06303693294923475,Adil fiyat,0.8,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,125.0,3,6,2.0,5.0,0.4,0,0.46858325014446284
167206-22,4350000,3450000.0,4225200.5,3837600.25,0.13352087675103733,Adil fiyat,0.35,ilce_ici,Başakşehir,Bahçeşehir 2. Kısım,74.0,2,5,1.0,1.0,1.0,0,1.533948688385888
